Visibility,Time,Unexpected_beh
1,8.090339660644531,10
1,33.582906007766724,2
1,7.381732225418091,0
1,13.18615198135376,0
1,7.23920464515686,0
1,11.836690902709961,0
1,7.070887804031372,0
1,8.084883213043213,7
1,15.233783483505249,0
1,12.332140922546387,2
1,36.30836033821106,31
1,19.12232279777527,0
1,7.625137090682983,0
1,7.401137828826904,0
1,24.330261707305908,0
1,11.470215559005737,0
1,33.962782859802246,7
1,33.67597579956055,17
1,7.265282154083252,0
1,7.860426425933838,0
1,23.562032461166382,0
1,28.51032304763794,0
1,11.825683116912842,9
1,14.590475797653198,0
1,28.645596027374268,0
1,10.02346134185791,0
1,7.3947694301605225,0
1,7.358808279037476,0
1,7.84438681602478,9
1,13.551242113113403,0
1,7.053796291351318,0
1,37.69550180435181,16
1,23.705657720565796,34
1,38.00512146949768,0
1,44.21439504623413,0
1,14.648146390914917,17
1,7.764311075210571,0
1,7.538132667541504,26
1,20.295652866363525,0
1,8.148897409439087,6
1,7.404349088668823,0
1,22.77371382713318,0
1,20.770057916641235,0
1,26.385852336883545,16
1,7.37031626701355,0
1,6.284881353378296,0
1,7.736638069152832,0
1,8.06704306602478,0
1,28.83961009979248,0
1,7.857964992523193,9
1,11.098980188369751,6
1,7.903253555297852,0
1,42.22037649154663,0
1,27.755183458328247,0
1,46.32382273674011,0
1,15.863479852676392,3
1,24.163399934768677,0
1,21.96603298187256,0
1,30.380139112472534,7
1,12.413841009140015,0
1,35.14503240585327,0
1,10.674561738967896,0
1,7.393640995025635,0
1,9.246665239334106,0
1,31.801783084869385,17
1,7.801612377166748,2
1,7.706153154373169,0
1,7.5955727100372314,0
1,9.012958288192749,0
1,18.389702558517456,0
1,18.81423854827881,22
1,32.10722756385803,0
1,22.333223581314087,9
1,46.00674390792847,0
1,7.230903148651123,0
1,19.732511043548584,36
1,6.671367645263672,0
1,20.561350345611572,0
1,7.663941383361816,8
1,7.854657888412476,35
1,27.733837127685547,0
1,38.28746223449707,0
1,7.78093695640564,0
1,7.034028053283691,6
1,20.283337116241455,0
1,17.99136257171631,0
1,27.33375072479248,0
1,10.985219955444336,0
1,8.945773363113403,19
1,12.615455150604248,5
1,7.399455308914185,0
1,8.97349762916565,0
1,17.7956440448761,0
1,12.633652448654175,0
1,10.25310754776001,0
1,7.586565971374512,0
1,7.34669041633606,0
1,46.181889295578,0
1,35.81980037689209,0
1,17.847445011138916,44
0,13.433849096298218,30
0,14.142768383026123,0
0,14.704099893569946,35
0,14.223430156707764,28
0,15.505237579345703,26
0,16.817347049713135,0
0,13.069969654083252,4
0,15.586510419845581,44
0,14.619964361190796,0
0,12.563243865966797,5
0,15.4116690158844,0
0,13.594189167022705,15
0,14.507683277130127,20
0,14.02051329612732,55
0,13.677315711975098,0
0,10.132921934127808,41
0,15.790846824645996,0
0,18.28990149497986,20
0,10.411759614944458,4
0,14.863579273223877,17
0,15.898813962936401,4
0,15.098997116088867,0
0,14.783562898635864,9
0,16.582762002944946,7
0,13.006166934967041,0
0,15.081419229507446,21
0,14.531468391418457,31
0,15.51240348815918,0
0,14.451730489730835,0
0,13.699213743209839,0
0,14.408548593521118,0
0,14.347859621047974,33
0,14.486227750778198,0
0,16.783589363098145,0
0,14.88963007926941,0
0,11.612906694412231,0
0,15.858710289001465,0
0,16.80744981765747,22
0,15.04982590675354,24
0,17.685654401779175,0
0,15.932153701782227,4
0,16.81018090248108,15
0,15.796803712844849,65
0,12.942817449569702,27
0,16.35685920715332,0
0,11.90337347984314,69
0,13.610191106796265,7
0,16.74088454246521,0
0,13.457698583602905,9
0,15.479111194610596,0
0,12.965030670166016,2
0,14.388508319854736,0
0,16.066097021102905,10
0,11.66994857788086,61
0,8.794220447540283,22
0,12.972961187362671,15
0,15.170495510101318,0
0,14.690229892730713,6
0,12.05762529373169,0
0,16.39359974861145,36
0,16.931036949157715,0
0,14.409887313842773,0
0,9.597122192382812,5
0,15.45811653137207,0
0,13.045937061309814,29
0,14.182941436767578,32
0,15.155238628387451,0
0,14.128599643707275,9
0,16.74057126045227,10
0,13.209979057312012,0
0,13.389914512634277,32
0,15.438372135162354,0
0,11.015576839447021,48
0,14.50978684425354,0
0,13.38258171081543,0
0,14.259124040603638,39
0,14.545867443084717,5
0,13.606600761413574,19
0,12.388299226760864,0
0,13.862112998962402,0
0,10.783053159713745,0
0,15.939699649810791,0
0,13.95409870147705,18
0,13.33078122138977,31
0,14.06718921661377,33
0,13.879245519638062,33
0,14.274998664855957,98
0,16.141087770462036,0
0,17.814517736434937,28
0,14.279553890228271,42
0,15.440419673919678,0
0,13.99787163734436,22
0,14.963040113449097,0
0,13.555982828140259,0
0,15.871246814727783,51
0,14.685026407241821,0
0,12.060330629348755,9
0,12.242191314697266,43
0,14.701139688491821,11
0,14.680243492126465,6
0,16.17095637321472,0
0,16.874316453933716,58
0,12.46388578414917,35
0,14.621246337890625,14
0,14.30030369758606,0
